outcome,unit,clif_hospital,event_rate,n_patients,contributing_hospitals,p_hat,var,se,lower_prob,upper_prob,lower_log,upper_log,width_prob,width_log
death_hospice,icu,BMC,0.2023855645693151,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2023855645693151,0.005428817451546454,0.07368050930569396,0.05797441996758668,0.34679670917104355,0.09397405430655177,0.38299570974553043,0.28882228920345687,0.2890216554389787
death_hospice,icu,HCG,0.23579071734231483,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.23579071734231483,0.007298767412980987,0.08543282397873189,0.06834545924645044,0.40323597543817924,0.10859729644253943,0.43864961264392466,0.3348905161917288,0.3300523162013852
death_hospice,icu,JHH,0.2023855645693151,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2023855645693151,0.005428817451546454,0.07368050930569396,0.05797441996758668,0.34679670917104355,0.09397405430655177,0.38299570974553043,0.28882228920345687,0.2890216554389787
death_hospice,icu,SMH,0.20344660548484622,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.20344660548484622,0.00548413176238079,0.07405492395770041,0.05830162164990105,0.3485915893197914,0.0944444157241312,0.38479520482706914,0.29028996766989035,0.29035078910293793
death_hospice,icu,SUB,0.23579071734231483,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.23579071734231483,0.007298767412980987,0.08543282397873189,0.06834545924645044,0.40323597543817924,0.10859729644253943,0.43864961264392466,0.3348905161917288,0.3300523162013852
death_hospice,icu,UCMC,0.17325830639745227,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.17325830639745227,0.004016000039210085,0.06337191838038427,0.04905162874068726,0.2974649840542173,0.08092593259310034,0.33279180360413935,0.24841335531353004,0.251865871011039
death_hospice,ward,BMC,0.06300274517855879,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.06300274517855879,0.006358517355512106,0.07974031198529452,-0.09328539442860605,0.21929088478572362,0.004740056598764303,0.48699062957352945,0.3125762792143297,0.48225057297476515
death_hospice,ward,HCG,0.057657804820233985,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.057657804820233985,0.005360334414482287,0.07321430471214137,-0.08583959556870423,0.20115520520917218,0.0043427429326272195,0.46187693775021765,0.2869948007778764,0.45753419481759044
death_hospice,ward,JHH,0.10600505248404549,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.10600505248404549,0.017483456932596404,0.13222502385175208,-0.15315123212033813,0.36516133708842913,0.0076387511781331125,0.6462112182581998,0.5183125692087672,0.6385724670800668
death_hospice,ward,SMH,0.07426759429703896,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.07426759429703896,0.008739078872638705,0.09348304056158371,-0.10895579836896212,0.25749098696304,0.005552695319731395,0.5354610264441658,0.36644678533200215,0.5299083311244345
death_hospice,ward,SUB,0.06680917649835626,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.06680917649835626,0.007120857523218865,0.08438517359832155,-0.09858272458351418,0.23220107758022668,0.005018522680886797,0.5040124117967439,0.33078380216374087,0.4989938891158571
death_hospice,ward,UCMC,0.0834833475079121,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.0834833475079121,0.010967081204557187,0.1047238330302954,-0.12177159355445293,0.2887382885702771,0.006190574798300574,0.5711761457041091,0.41050988212473005,0.5649855709058086
death_hospice,stepdown,BMC,0.16513423405799588,2539,"BMC, HCG, JHH, SUB",0.16513423405799588,0.007471332980358999,0.08643687280529647,-0.004278923576654797,0.3345473916926466,0.054715097444888526,0.40331345806577545,0.3388263152693014,0.34859836062088695
death_hospice,stepdown,HCG,0.18450528385793707,2539,"BMC, HCG, JHH, SUB",0.18450528385793707,0.009299819635998744,0.09643557246161161,-0.004504964995324268,0.3735155327111984,0.06052259386983961,0.44277024018115885,0.3780204977065227,0.38224764631131924
death_hospice,stepdown,JHH,0.1651344404246415,2539,"BMC, HCG, JHH, SUB",0.1651344404246415,0.007471351405760589,0.0864369793882259,-0.004278926108712222,0.33454780695799524,0.05471516021113557,0.40331388647510635,0.33882673306670746,0.34859872626397076
death_hospice,stepdown,SUB,0.18450537223031122,2539,"BMC, HCG, JHH, SUB",0.18450537223031122,0.009299828428816208,0.09643561805067777,-0.004504965975877906,0.37351571043650034,0.06052261997014081,0.44277041674754314,0.37802067641237824,0.38224779677740234
organ_failure_yn,icu,BMC,0.2535037031227352,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2535037031227352,0.008415940482515177,0.09173843514315674,0.07369967424408441,0.43330773200138595,0.11607333613116491,0.4675774218946874,0.35960805775730154,0.35150408576352243
organ_failure_yn,icu,HCG,0.2738411804303437,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2738411804303437,0.00976529877552507,0.09881952628668622,0.08015846793912962,0.4675238929215578,0.12463801184834358,0.4996957448306231,0.3873654249824282,0.3750577329822795
organ_failure_yn,icu,JHH,0.2772894325195063,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2772894325195063,0.01000348965218473,0.10001744673898015,0.08125883908545214,0.4733200259535604,0.1260721415083378,0.5050622224591986,0.3920611868681082,0.37899008095086084
organ_failure_yn,icu,SMH,0.22179178535537836,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.22179178535537836,0.006502874372265756,0.08064040161275089,0.06373950249554095,0.37984406821521577,0.10238800386870779,0.41592078029873275,0.3161045657196748,0.313532776430025
organ_failure_yn,icu,SUB,0.2606884668952514,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2606884668952514,0.008881773373791386,0.09424316088603664,0.07597526576940569,0.44540166802109704,0.11911923066472074,0.47901501664408297,0.3694264022516913,0.3598957859793622
organ_failure_yn,icu,UCMC,0.2301617753290487,3863,"BMC, HCG, JHH, SMH, SUB, UCMC",0.2301617753290487,0.006985038759312128,0.08357654431305549,0.0663547585231441,0.3939687921349533,0.10603637586797811,0.4297397499437398,0.3276140336118092,0.3237033740757617
organ_failure_yn,ward,BMC,0.042555093890609415,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.042555093890609415,0.0033875080514037363,0.05820230280155362,-0.07151932341773035,0.15662951119894916,0.0026961189381491603,0.4222130827783518,0.2281488346166795,0.41951696384020265
organ_failure_yn,ward,HCG,0.040214376293683234,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.040214376293683234,0.0030380569690089485,0.05511857190647222,-0.06781603952228352,0.14824479210965,0.00254416517980893,0.40767975270944723,0.21606083163193351,0.4051355875296383
organ_failure_yn,ward,JHH,0.041232459257315814,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.041232459257315814,0.003187818980722637,0.05646077382327165,-0.06942862397555843,0.15189354249019008,0.0026102980208218647,0.4140692101793915,0.2213221664657485,0.41145891215856967
organ_failure_yn,ward,SMH,0.06631058403846347,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.06631058403846347,0.007942769682935415,0.08912221767289802,-0.10836575282275572,0.24098692089968266,0.0042099268298291135,0.5440114364883073,0.3493526737224384,0.5398015096584782
organ_failure_yn,ward,SUB,0.03958227528312589,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.03958227528312589,0.0029468051050317973,0.05428448309629371,-0.06681335650498313,0.1459779070712349,0.002503075304003558,0.40365836598398885,0.21279126357621803,0.4011552906799853
organ_failure_yn,ward,UCMC,0.05485704496733656,1574,"BMC, HCG, JHH, SMH, SUB, UCMC",0.05485704496733656,0.005519427752788643,0.07429285128993666,-0.09075426786972937,0.2004683578044025,0.0034876063395226694,0.4904598565195589,0.2912226256741319,0.48697225018003626
organ_failure_yn,stepdown,BMC,0.10113287970586232,2539,"BMC, HCG, JHH, SUB",0.10113287970586232,0.0075674819349488475,0.08699127505071326,-0.0693668863627534,0.27163264577447804,0.016951846646003237,0.423329914098435,0.34099953213723144,0.40637806745243177
organ_failure_yn,stepdown,HCG,0.10387272110746604,2539,"BMC, HCG, JHH, SUB",0.10387272110746604,0.007974695111030619,0.08930114843063676,-0.07115431359464755,0.2788997558095796,0.017374140639362785,0.43178139658010545,0.3500540694042271,0.4144072559407427
organ_failure_yn,stepdown,JHH,0.13591803838384398,2539,"BMC, HCG, JHH, SUB",0.13591803838384398,0.013503065582695008,0.11620269180485884,-0.091835052460287,0.36367112922797495,0.02212099848481115,0.5223918780135356,0.45550618168826196,0.5002708795287244
organ_failure_yn,stepdown,SUB,0.09910963304209477,2539,"BMC, HCG, JHH, SUB",0.09910963304209477,0.007273442070739509,0.08528447731410159,-0.06804487093386757,0.2662641370180571,0.016638422970511536,0.41701199311527254,0.3343090079519247,0.400373570144761
